time/episodes,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean
4,0,149,373,37.25,68.7759205
8,0,299,393,37.375,73.1376645
12,1,451,404,37.583333333333336,77.23238108333334
16,1,593,409,37.0625,69.231336375
20,1,753,411,37.65,71.7941162
24,2,898,406,37.416666666666664,74.01097329166667
28,2,1059,406,37.82142857142857,81.07360142857144
32,2,1215,407,37.96875,84.056436875
36,3,1363,409,37.861111111111114,83.99986763888889
40,3,1506,411,37.65,85.55352867500001
44,4,1653,409,37.56818181818182,90.4327250909091
48,4,1795,405,37.395833333333336,86.65754325
52,4,1928,405,37.07692307692308,86.56509430769232
56,5,2081,405,37.160714285714285,89.01350237500002
60,5,2244,405,37.4,88.53939331666669
64,5,2387,405,37.296875,87.454549875
